// Initial random seed:
1502062847184

// RunInitializeCallbacks():
initializeMutationRate(1e-05);
initializeMutationType(1, 0.5, "f", 1);
initializeMutationType(2, 0.5, "f", -1);
initializeGenomicElementType(1, c(m1, m2), c(1, 1));
initializeGenomicElement(g1, 0, 999);
initializeRecombinationRate(0.001);

// Starting run at generation <start>:
1 

DATA:
800
60 463 55 468
64 458 57 465
64 451 58 457
65 452 59 458
64 446 59 451
61 452 58 455
61 452 57 456
63 457 59 461
68 438 59 447
67 446 62 451
67 453 56 464
69 454 60 463
70 449 62 457
66 449 62 453
68 444 61 451
70 443 63 450
71 440 61 450
70 448 63 455
70 470 58 482
67 475 59 483
70 445 61 454
60 449 60 449
65 432 60 437
62 467 63 466
63 468 67 464
59 476 64 471
59 472 63 468
58 452 64 446
61 455 64 452
58 456 65 449
67 435 64 438
65 445 59 451
65 439 59 445
64 443 61 446
62 456 62 456
64 474 64 474
